club,last_name,first_name,position,base_salary,guaranteed_compensation,year,conference
Seattle Sounders FC,Alonso,Osvaldo,M,748000.0,789667.0,2015,Western
New England Revolution,Alston,Kevin,D,140000.0,158333.33,2015,Eastern
Toronto FC,Altidore,Jozy,F,4750000.0,4750000.0,2015,Eastern
Colorado Rapids,Alvarez,Carlos,M,70000.0,70000.0,2015,Western
New York City FC,Alvarez,Pablo,M,60000.0,63045.09,2015,Eastern
San Jose Earthquakes,Amarikwa,Quincy,F,100000.0,100000.0,2015,Western
Pool,Anibaba,Jalil,D,120000.0,150000.0,2015,
Pool,Anor,Bernardo,M,135000.0,135000.0,2015,
Toronto FC,Aparicio,Manuel,M,60000.0,60000.0,2015,Eastern
Philadelphia Union,Aristeguieta,Fernando,F,350004.0,350004.0,2015,Eastern
DC United,Arnaud,Davy,M,212500.0,212500.0,2015,Eastern
DC United,Arrieta,Jairo,F,150000.0,165000.0,2015,Eastern
Orlando City SC,Ashe,Corey,M,180000.0,189750.0,2015,Eastern
Portland Timbers,Asprilla,Dairon,F,60000.0,60000.0,2015,Western
Real Salt Lake,Attinella,Jeff,G,60000.0,65083.33,2015,Western
Orlando City SC,Avila,Eric,M,72000.0,77000.0,2015,Eastern
Philadelphia Union,Ayuk,Eric,M,50000.0,50000.0,2015,Eastern
Seattle Sounders FC,Azira,Michael,D,60000.0,62826.88,2015,Western
Colorado Rapids,Badji,Dominique,F,50000.0,50000.0,2015,Western
New York City FC,Ballouchy,Mehdi,M,68250.0,83250.0,2015,Eastern
New England Revolution,Barnes,Darrius,D,95000.0,101666.67,2015,Eastern
Houston Dynamo,Barnes,Giles,M,247500.0,258375.0,2015,Western
Philadelphia Union,Barnetta,Tranquillo,M,624000.0,661500.0,2015,Eastern
San Jose Earthquakes,Barrera,Leandro,F,60000.0,60000.0,2015,Western
Seattle Sounders FC,Barrett,Chad,F,95000.0,100000.0,2015,Western
FC Dallas,Barrios,Michael,M,60000.0,60000.0,2015,Western
Columbus Crew,Barson,Chad,D,60000.0,60000.0,2015,Eastern
Houston Dynamo,Beasley,DaMarcus,D,750000.0,813333.33,2015,Western
Real Salt Lake,Beckerman,Kyle,M,625000.0,700000.0,2015,Western
Orlando City SC,Bedell,Adam,F,60000.0,60000.0,2015,Eastern
Seattle Sounders FC,Bedinelli,Thomas,M,108000.0,133125.0,2015,Western
Vancouver Whitecaps,Beitashour,Steven,D,190000.0,197166.67,2015,Western
Montreal Impact,Bekker,Kyle,M,61765.0,88015.0,2015,Eastern
Real Salt Lake,Beltran,Anthony,D,195000.0,205950.0,2015,Western
Toronto FC,Bendik,Joe,G,150000.0,157375.0,2015,Eastern
San Jose Earthquakes,Bernardez,Victor,D,200000.0,241600.0,2015,Western
Colorado Rapids,Berner,John,G,60000.0,60000.0,2015,Western
Montreal Impact,Bernier,Patrice,F,90000.0,135000.0,2015,Eastern
Philadelphia Union,Berry,Austin,D,93519.0,108519.0,2015,Eastern
Pool,Besler,Matt,D,650000.0,683250.0,2015,
Portland Timbers,Besler,Nick,M,65000.0,81250.0,2015,Western
San Jose Earthquakes,Bingham,David,G,130000.0,137750.0,2015,Western
Philadelphia Union,Bird,Eric,M,60000.0,60000.0,2015,Eastern
DC United,Birnbaum,Steven,D,66000.0,96000.0,2015,Eastern
Montreal Impact,Bitolo,Ambroise,D,100000.0,100000.0,2015,Eastern
Philadelphia Union,Blake,Andre,G,85000.0,123000.0,2015,Eastern
Toronto FC,Bloom,Mark,D,90000.0,97348.89,2015,Eastern
Orlando City SC,Boden,Luke,D,75000.0,75000.0,2015,Eastern
Houston Dynamo,Boniek Garcia,Oscar,F,245000.0,303750.0,2015,Western
Toronto FC,Bono,Alex,G,60000.0,80200.0,2015,Eastern
Portland Timbers,Borchers,Nat,D,235000.0,245000.0,2015,Western
DC United,Boswell,Bobby,D,200000.0,200000.0,2015,Eastern
Toronto FC,Bradley,Michael,M,6000000.0,6500000.0,2015,Eastern
New York City FC,Brandt,Connor,M,50000.0,50000.0,2015,Eastern
New York City FC,Brovsky,Jeb,M,122500.0,129125.0,2015,Eastern
Houston Dynamo,Bruin,Will,F,140000.0,185000.0,2015,Western
Chicago Fire,Bryce,Kingsley,M,50000.0,50000.0,2015,Eastern
LA Galaxy,Buddle,Edson,F,100000.0,106250.0,2015,Western
New England Revolution,Bunbury,Teal,F,195000.0,240000.0,2015,Eastern
Colorado Rapids,Burch,Marc,D,110000.0,110000.0,2015,Western
Colorado Rapids,Burling,Bobby,D,132500.0,140000.0,2015,Western
Chicago Fire,Busch,Jon,G,85000.0,90000.0,2015,Eastern
Montreal Impact,Bush,Evan,G,100000.0,100000.0,2015,Eastern
Vancouver Whitecaps,Bustos,Marco,M,50000.0,54850.0,2015,Western
Montreal Impact,Cabrera,Victor,D,60000.0,60000.0,2015,Eastern
New England Revolution,Caldwell,Scott,M,60000.0,67500.0,2015,Eastern
New York City FC,Calle,Javier,M,200000.0,225750.0,2015,Eastern
Colorado Rapids,Calvert,Caleb,F,65000.0,72500.0,2015,Western
Montreal Impact,Camara,Hassoun,M,235000.0,246625.0,2015,Eastern
Columbus Crew,Campbell,Sergio,M,50000.0,52500.0,2015,Eastern
Vancouver Whitecaps,Carducci,Marco,G,60000.0,60000.0,2015,Western
Orlando City SC,Carrasco,Servando,M,80750.0,85375.0,2015,Eastern
Philadelphia Union,Carreiro,Fred,M,60000.0,60000.0,2015,Eastern
Philadelphia Union,Carroll,Brian,M,150000.0,150000.0,2015,Eastern
Orlando City SC,Cascio,Tony,M,78529.0,112279.0,2015,Eastern
Philadelphia Union,Casey,Conor,F,180000.0,180000.0,2015,Eastern
Pool,Castano,Santiago,G,60000.0,60000.0,2015,
FC Dallas,Castillo,Fabian,F,145000.0,160000.0,2015,Western
Philadelphia Union,Catic,Dzenan,F,60000.0,75000.0,2015,Eastern
San Jose Earthquakes,Cato,Cordell,F,60000.0,60000.0,2015,Western
Orlando City SC,Ceren,Darwin,M,66000.0,96437.5,2015,Eastern
Toronto FC,Chapman,Jay,M,70000.0,88500.0,2015,Eastern
Portland Timbers,Chara,Diego,M,170000.0,170000.0,2015,Western
Toronto FC,Cheyrou,Benoit,M,249999.96,259333.29,2015,Eastern
Montreal Impact,Ciman,Laurent,D,370000.0,401666.67,2015,Eastern
FC Dallas,Cirigliano,Ezequiel,M,124999.92,167999.92,2015,Western
Houston Dynamo,Clark,Ricardo,M,304000.0,337750.0,2015,Western
Columbus Crew,Clark,Steve,G,170000.0,188333.33,2015,Eastern
Vancouver Whitecaps,Clarke,Caleb,F,60000.0,60000.0,2015,Western
Houston Dynamo,Cochran,AJ,D,60375.0,76375.0,2015,Western
Chicago Fire,Cochrane,Greg,D,60000.0,60000.0,2015,Eastern
Chicago Fire,Cocis,Razvan,M,220000.0,226666.67,2015,Eastern
Orlando City SC,Collin,Aurelien,D,500000.0,525000.0,2015,Eastern
Montreal Impact,Cooper,Kenny,F,220000.0,285625.0,2015,Eastern
DC United,Coria,Facundo,M,60000.0,70375.0,2015,Eastern
Seattle Sounders FC,Correa,Andres,D,60000.0,68166.67,2015,Western
FC Dallas,Craft,Coy,F,60000.0,77083.33,2015,Western
Seattle Sounders FC,Craven,Andy,F,60000.0,60000.0,2015,Western
Philadelphia Union,Creavalle,Warren,D,108500.0,119000.0,2015,Eastern
Montreal Impact,Crepeau,Maxime,G,60000.0,60000.0,2015,Eastern
Colorado Rapids,Cronin,Sam,M,200000.0,202500.0,2015,Western
Philadelphia Union,Cruz,Danny,M,125000.0,131666.67,2015,Eastern
